,index,Breed,height_low_inches,height_high_inches,weight_low_lbs,weight_high_lbs,Classification,obey,reps_lower,reps_upper,average height,average weight,height variability,weight variability,repetitions variability,linear
94,94,Standard Schnauzer,17.0,19.0,33.0,33.0,Excellent Working Dogs,0.85,5.0,15.0,18.0,33.0,0.0555555555555555,0.0,0.5,1.8333333333333333
80,80,Norwegian Elkhound,19.0,20.0,40.0,60.0,Above Average Working Dogs,0.7,16.0,25.0,19.5,50.0,0.0256410256410256,0.2,0.2195121951219512,2.5641025641025643
83,83,Pharaoh Hound,21.0,25.0,45.0,55.0,Above Average Working Dogs,0.7,16.0,25.0,23.0,50.0,0.0869565217391304,0.1,0.2195121951219512,2.1739130434782608
79,79,Kerry Blue Terrier,17.0,21.0,30.0,45.0,Above Average Working Dogs,0.7,16.0,25.0,19.0,37.5,0.1052631578947368,0.2,0.2195121951219512,1.9736842105263157
59,59,Bearded Collie,20.0,22.0,40.0,60.0,Above Average Working Dogs,0.7,16.0,25.0,21.0,50.0,0.0476190476190476,0.2,0.2195121951219512,2.380952380952381
54,54,American Staffordshire Terrier,17.0,19.0,40.0,50.0,Above Average Working Dogs,0.7,16.0,25.0,18.0,45.0,0.0555555555555555,0.1111111111111111,0.2195121951219512,2.5
87,87,Portuguese Water Dog,20.0,23.0,42.0,60.0,Above Average Working Dogs,0.7,16.0,25.0,21.5,51.0,0.0697674418604651,0.1764705882352941,0.2195121951219512,2.372093023255814
43,43,Irish Setter,25.0,27.0,60.0,70.0,Above Average Working Dogs,0.7,16.0,25.0,26.0,65.0,0.0384615384615384,0.0769230769230769,0.2195121951219512,2.5
41,41,Gordon Setter,23.0,27.0,45.0,80.0,Above Average Working Dogs,0.7,16.0,25.0,25.0,62.5,0.08,0.28,0.2195121951219512,2.5
71,71,Field Spaniel,18.0,18.0,35.0,50.0,Above Average Working Dogs,0.7,16.0,25.0,18.0,42.5,0.0,0.1764705882352941,0.2195121951219512,2.361111111111111
39,39,Giant Schnauzer,25.0,28.0,70.0,75.0,Above Average Working Dogs,0.7,16.0,25.0,26.5,72.5,0.0566037735849056,0.0344827586206896,0.2195121951219512,2.7358490566037736
90,90,Samoyed,19.0,24.0,50.0,65.0,Above Average Working Dogs,0.7,16.0,25.0,21.5,57.5,0.1162790697674418,0.1304347826086956,0.2195121951219512,2.6744186046511627
35,35,English Setter,23.0,27.0,45.0,80.0,Above Average Working Dogs,0.7,16.0,25.0,25.0,62.5,0.08,0.28,0.2195121951219512,2.5
149,149,Yorkshire Terrier,8.0,8.0,3.0,7.0,Above Average Working Dogs,0.7,16.0,25.0,8.0,5.0,0.0,0.4,0.2195121951219512,0.625
69,69,Dalmatian,19.0,23.0,45.0,70.0,Above Average Working Dogs,0.7,16.0,25.0,21.0,57.5,0.0952380952380952,0.217391304347826,0.2195121951219512,2.738095238095238
97,97,Welsh Springer Spaniel,16.0,19.0,35.0,45.0,Above Average Working Dogs,0.7,16.0,25.0,17.5,40.0,0.0857142857142857,0.125,0.2195121951219512,2.2857142857142856
124,124,Puli,16.0,17.0,29.0,33.0,Above Average Working Dogs,0.7,16.0,25.0,16.5,31.0,0.0303030303030303,0.064516129032258,0.2195121951219512,1.878787878787879
108,108,Cairn Terrier,9.0,10.0,14.0,14.0,Above Average Working Dogs,0.7,16.0,25.0,9.5,14.0,0.0526315789473684,0.0,0.2195121951219512,1.4736842105263157
105,105,Border Terrier,12.0,15.0,12.0,15.0,Above Average Working Dogs,0.7,16.0,25.0,13.5,13.5,0.1111111111111111,0.1111111111111111,0.2195121951219512,1.0
13,13,Newfoundland,26.0,28.0,100.0,150.0,Above Average Working Dogs,0.7,16.0,25.0,27.0,125.0,0.037037037037037,0.2,0.2195121951219512,4.62962962962963
100,100,Australian Terrier,10.0,10.0,10.0,14.0,Above Average Working Dogs,0.7,16.0,25.0,10.0,12.0,0.0,0.1666666666666666,0.2195121951219512,1.2
28,28,Briard,23.0,27.0,74.0,76.0,Above Average Working Dogs,0.7,16.0,25.0,25.0,75.0,0.08,0.0133333333333333,0.2195121951219512,3.0
29,29,Chesapeake Bay Retriever,21.0,26.0,55.0,75.0,Above Average Working Dogs,0.7,16.0,25.0,23.5,65.0,0.1063829787234042,0.1538461538461538,0.2195121951219512,2.765957446808511
30,30,Clumber Spaniel,19.0,20.0,35.0,65.0,Above Average Working Dogs,0.7,16.0,25.0,19.5,50.0,0.0256410256410256,0.3,0.2195121951219512,2.5641025641025643
138,138,Affenpinscher,9.0,12.0,8.0,12.0,Above Average Working Dogs,0.7,16.0,25.0,10.5,10.0,0.1428571428571428,0.2,0.2195121951219512,0.9523809523809523
137,137,Whippet,18.0,22.0,27.0,30.0,Average Working/Obedience Intelligence,0.5,26.0,40.0,20.0,28.5,0.1,0.0526315789473684,0.2121212121212121,1.425
136,136,West Highland White Terrier,11.0,11.0,13.0,15.0,Average Working/Obedience Intelligence,0.5,26.0,40.0,11.0,14.0,0.0,0.0714285714285714,0.2121212121212121,1.2727272727272727
